news,type
"Yangtze Electric Power, the operator of China's Three Gorges Dam, has said its profits more than doubled in 2004.

The firm has benefited from increased demand for electricity at a time when power shortages have hit cities and provinces across the country. As a hydroelectric-power generator it has not been hurt by higher coal costs. Net income jumped to 3bn yuan in 2004 ($365m; £190m), compared with 1.4bn yuan in 2003. Sales surged to 6.2bn yuan, from 3bn yuan a year earlier. The figures topped analysts expectations, even though the rate of growth has slowed from 2003. Analysts forecast that it is likely to decline further this year to a rate of expansion of closer to 20%.

Yangtze Electric has been expanding its output to meet demand driven by China's booming economy. The government has delayed the building of a number of power plants in an effort to rein in growth amid concerns that the economy may overheat. That has led to an energy crunch, with demand outstripping supply. Earlier this month, work was halted on an underground power station, and a supply unit on the Three Gorges Dam, as well as a power station on its sister Xiluodu dam because of environmental worries. A total of 30 large-scale projects have been halted across the country for similar reasons. The Three Gorges Dam project has led to more than half a million people being relocated and drawn criticism from environmental groups and overseas human rights activists. Its sister project, the Xiluodu Dam, is being built on the Jinshajiang - or ""river of golden sand"" as the upper reaches of the Yangtze are known.",business
"T-Mobile has launched its latest ""pocket office"" third-generation (3G) device which also has built-in wi-fi - high-speed wireless net access.

Unlike other devices where the user has to check which high-speed network is available to transfer data, the device selects the fastest one itself. The MDA IV, released in the summer, is an upgrade to the company's existing smartphone, the 2.5G/wi-fi MDA III. It reflects the push by mobile firms for devices that are like mini laptops. The device has a display that can be swivelled and angled so it can be used like a small computer, or as a conventional clamshell phone. The Microsoft Mobile phone, with two cameras and a Qwerty keyboard, reflects the design of similar all-in-one models released this year, such as Motorola's MPx. ""One in five European workers are already mobile - meaning they spend significant time travelling and out of the office,"" Rene Obermann, T-Mobile's chief executive, told a press conference at the 3GSM trade show in Cannes. He added: ""What they need is their office when they are out of the office."" T-Mobile said it was seeing increasing take up for what it calls ""Office in a Pocket"" devices, with 100,000 MDAs sold in Europe already.

In response to demand, T-Mobile also said it would be adding the latest phone-shaped Blackberry to its mobile range. Reflecting the growing need to be connected outside the office, it announced it would introduce a flat-fee £20 ($38) a month wi-fi tariff for people in the UK using its wi-fi hotspots. It said it would nearly double the number of its hotspots - places where wi-fi access is available - globally from 12,300 to 20,000.

It also announced it was installing high-speed wi-fi on certain train services, such as the UK's London to Brighton service, to provide commuters a fast net connection too. The service, which has been developed with Southern trains, Nomad Digital (who provide the technology), begins with a free trial on 16 trains on the route from early March to the end of April. A full service is set to follow in the summer. Wi-fi access points will be connected to a Wimax wireless network - faster than wi-fi - running alongside the train tracks. Brian McBride, managing director of T-Mobile in the UK, said: ""We see a growing trend for business users needing to access e-mail securely on the move.

""We are able to offer this by maintaining a constant data session for the entire journey."" He said this was something other similar in-train wi-fi services, such as that offered on GNER trains, did not offer yet. Mr Obermann added that the mobile industry in general was still growing, with many more opportunities for more services which would bear fruit for mobile companies in future. Thousands of mobile industry experts are gathered in Cannes, France, for the 3GSM which runs from 14 to 17 February.",tech
"UK video game firms face a testing time as they prepare for the next round of games consoles, the industry warns.

Fred Hasson, head of Tiga, which represents independent developers, said that more UK firms would go under due to greater risks in making new titles. Three leading UK video game companies also predicted that more firms would close as they struggled to adapt. Microsoft, Sony and Nintendo are expected to release new consoles in the next 18 months. Microsoft has said repeatedly that it wants to be first to the market and some analysts predict that Xbox 2 will be released in the US before the end of 2005.

The new machines will all have much greater processing and graphical power which will have a huge impact on development of next generation games. Mr Hasson said: ""In the last four years we have probably lost a third of independent developers."" He said there were about 150 independent developers left in the industry and more were likely to close. ""Once the cull has finished its likely to present those still standing with great opportunities,"" he said.

Mr Hasson said the industry was predicting that developments costs and teams were likely to need to double in order to cope with the demands of the new machines. That figure was endorsed by three independent companies contacted by the BBC News website - Codemasters, Climax and Rebellion.

""As consoles get more powerful, the content gets more detailed and that means more cost,"" said Gary Dunn, development director at Codemasters, which develops games in house and also publishes titles. Jason Kingsley, chief executive of Rebellion, said the transition from the current generation of consoles to the new machines was difficult because ""the production quality expected by consumers will be that much bigger"". He added: ""We have been through five technology transitions and survived so far. ""Each one has involved the death of some people. All companies said they were investing in new tools - called middleware - in order to try and avoid staff numbers spiralling out of control.

Simon Gardner, president of Climax's Action studio, said: ""We are investing in superior tools and editors. We are investing upfront to generate this content without the need for huge teams. ""It's vital we avoid huge teams."" He said Climax was already directing about 20% of its resources to preparation for next generation titles. Mr Dunn warned that companies could face a short supply of programming, development and artistic talent. ""If companies are hiring bigger and bigger teams, at some point the talent is going to run out."" Mr Hasson said games developers were beginning to realise that they had to be more ""business-like"". ""There are still some developers who were involved in games from the bedroom coding days. ""Some of them are still making games for peer group approval - that has to stop.""",tech
"Pharmaceutical giant Johnson & Johnson has agreed to buy medical technology firm Guidant for $25.4bn (£13bn).

Guidant is a key producer of equipment that combats heart problems such as implant defibrillators and pacemakers. Analysts said that the deal is aimed at offsetting Johnson & Johnson's reliance on a slowing drug business. They also pointed out that more mergers are likely because the drug and healthcare industries are fragmented and are under pressure to cut costs. A number of Johnson & Johnson's products are facing patent expirations, while the company is also battling fierce competition from generic products. Meanwhile, demand for defibrillators, which give the heart a small electric shock when an irregular heartbeat or rhythm is detected, is expected to increase, analysts said. The move by Johnson & Johnson has been widely expected and the firm will pay $76 for each Guidant share, 6% more than Wednesday's closing price. Analysts say that US antitrust regulators could force the firms to shed some overlapping stent operations. Stents are tubes that are used to keep an artery open after it has been unblocked.",business
"The man who said he got Oscar-nominated movie The Aviator off the ground and signed up Leonardo DiCaprio has been shut out of the Academy Awards race.

Charles Evans Jr battled over his role with the people who eventually made the film, and won a producer's credit. But he is not on the list of producers who can win a best film Oscar due to a limit on the number of nominees. The Oscars organisers have picked two of The Aviator's four producers to be nominated for best film.

Up to three producers can be named per film but the studios behind The Aviator and Million Dollar Baby failed to trim their credits - so the Academy of Motion Pictures Arts and Sciences (Ampas) has done it for them. The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off. Mr Evans sued Mr Mann in 2001, claiming he came up with the idea, spent years developing it and persuaded DiCaprio to play Hughes - but said he was later excluded from the project. The two sides settled out of court in a deal that has remained secret apart from the fact Mr Evans' name has appeared as a producer when the film's credits roll. At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.

Ampas decided to limit the number of producers who could be nominated after Shakespeare in Love's victory in 1999 saw five producers collect awards. The eligible names for The Aviator and Million Dollar Baby were decided by Ampas' producers branch executive committee on Wednesday. The decision also saw Clint Eastwood get his third personal nomination for Million Dollar Baby. He is now named in the best film category as well as being nominated for best director and best lead actor. The Academy Awards ceremony will be held in Hollywood on 27 February. Chinese actress Ziyi Zhang, star of Crouching Tiger, Hidden Dragon, Hero and House of Flying Daggers, is the latest name to be added to the list of presenters on the night.",entertainment
"A proposed European law on software patents will not be re-drafted by the European Commission (EC) despite requests by MEPs.

The law is proving controversial and has been in limbo for a year. Some major tech firms say it is needed to protect inventions, while others fear it will hurt smaller tech firms The EC says the Council of Ministers will adopt a draft version that was agreed upon last May but said it would review ""all aspects of the directive"". The directive is intended to offer patent protection to inventions that use software to achieve their effect, in other words, ""computer implemented invention"".

In a letter, EC President Jos&#233; Manuel Barroso told the President of the European Parliament, Josep Borrell, that the Commission ""did not intend to refer a new proposal to the Parliament and the Council (of ministers)"" as it had supported the agreement reached by ministers in May 2004.

If the European Council agrees on the draft directive it will then return for a second reading at the European Parliament. But that will not guarantee that the directive will become law - instead it will probably mean further delays and controversy over the directive. Most EU legislation now needs the approval of both parliament and the Council of Ministers before it becomes law. French Green MEP Alain Lipietz warned two weeks ago that if the Commission ignored the Parliament's request it would be an ""insult"" to the assembly. He said that the parliament would then reject the Council's version of the legislation as part of the final or conciliation stage of the decision procedure. In the US, the patenting of computer programs and internet business methods is permitted.

This means that the US-based Amazon.com holds a patent for its ""one-click shopping"" service, for example. Critics are concerned that the directive could lead to a similar model happening in Europe. This, they fear, could hurt small software developers because they do not have the legal and financial might of larger companies if they had to fight patent legal action in court. Supporters say current laws are inefficient and it would serve to even up a playing field without bringing EU laws in line with the US.",tech
"The real danger is not what happens to your data as it crosses the net, argues analyst Bill Thompson. It is what happens when it arrives at the other end.

The Financial Services Authority has warned banks and other financial institutions that members of criminal gangs may be applying for jobs which give them access to confidential customer data. The fear is not that they will steal money from our bank accounts but that they will instead steal something far more valuable in our digital society - our identities. Armed with the personal details that a bank holds, plus a fake letter or two, it is apparently easy to get a loan, open a bank account with an overdraft or get a credit card in someone else's name. And it is then a simple matter to move the money into another account and leave the unwitting victim to sort out the mess when statements and demands for payment start arriving. Identity theft is an increasingly significant economic crime, and we are all becoming more aware of the dangers of leaving bills, receipts and bank statements unshredded in our rubbish.

But, however careful you may be, if the organisations you trust with your personal data, bank accounts and credit cards are not able to look after their databases properly then you are in trouble. It is surprising that it has taken the gangs so long to realise that a well-placed insider is by far the simplest way to break the security of a computer system. In fact, I suspect that the FSA is probably very late to this particular party and that this sort of thing has been going on for rather a long time. Has anyone checked Bob Cratchit's family links to the criminal underworld, I wonder? And it is hardly likely to be only banks that are being targeted. Health authorities, government agencies and of course the big e-commerce sites like Amazon must also offer rich pickings for the fraudsters. The good news is that better auditing is likely to catch out those who access account details that they are not supposed to. And as we all become aware of the danger of identity theft and look more carefully for unexpected transactions on our statements, banks should have good enough records and logs to trace the people who might have accessed the account details. Fortunately there are now ways to keep bank systems more secure from the sort of data theft that involves taking a portable hard drive or flash memory card into the office, plugging it into a USB slot and sucking down customer files.

Companies like SecureWave, for example, can restrict the use of USB ports just to authorised devices or even to an individual's personal memory card. These solutions are not perfect, but it does not feel like a wave of fraud is about to wash away the entire financial system. However the warning does highlight one of the major issues with e-commerce and online trading - the security or otherwise of the servers and other systems that make up the 'back office'. It has been clear for years that the real danger in paying for goods online with a credit card is not that the number will be intercepted in transit but that the shop you are dealing with will be hacked.

In fact I do not know of a single case where an e-mail containing payment details has led to card fraud.

There are simply too many e-mails passing over the net for interception to be a sensible tool for anyone out to commit fraud. CD Universe, Powergen and many other companies have left their databases open and suffered the consequences. And just last week the online bank Cahoot admitted that its customer account details could be read by anyone who could guess a login name. Whether it is external hackers breaking in because of poor system security or internal staff abusing the access they get as part of their job, the issue is the same: how do we make sure that our personal data is not abused? Any organisation that processes personal data is, of course, bound by the Data Protection Act and must take proper care of it. Unauthorised disclosure is not allowed, but the penalties are small and the process of prosecuting under the Act so convoluted as to be worthless in practice. This is not something we can just leave it to the market. The consequences of having one's identity stolen are too serious, and markets respond too slowly. After all, I bank with Cahoot but it would be so much hassle to move my accounts that I did not even consider it when I heard about their security problems. I doubt many others have closed their accounts, especially when there is little guarantee that other banks are not going to make the same sort of mistake in future. The two options would seem to be more stringent data protection law, so that companies really feel the pressure to improve their internal processes, or a wave of civil lawsuits against financial institutions with sloppy practices whose customers suffer from identity theft. I have never felt comfortable with the US practice of suing everything that moves, partly because it seems to make lawyers richer than their clients, so I know which I'd prefer.

Bill Thompson is a regular commentator on the BBC World Service programme Go Digital.",tech
"Singer Courtney Love has been spared jail for assault and drug offences, but must serve three years probation.

She had back-to-back court appearances in two separate cases in Los Angeles, first pleading no contest to attacking a woman with a whisky bottle. In the second, Ms Love, 40, pleaded guilty to possessing a forged prescription and painkiller oxycodone. She must also do 100 hours community service, have drug treatment, attend Narcotics Anonymous and pay a fine. The ex-Hole singer's lawyer Howard Weitzman said Ms Love had ""turned her life around"" and she was ""clean and sober"".

The assault charge stemmed from April 2004, when Ms Love found musician Kristin King in her boyfriend's home. Ms King said the singer ""threw the bottle at the left side of my face"" in an ""angry, vicious and erratic"" attack. Ms Love was originally charged with the more serious offence of assault with a deadly weapon, but that was reduced to assault. Judge Rand Rubin said she must:

- Spend three years on probation
- Have one year's anger management counselling
- Have one year's drug rehabilitation
- Do 100 hours community service
- Pay $1,000 (£535) fine
- Have random drug tests
- Go to three Narcotics Anonymous meetings per week

In the drugs case, she was sentenced to 18 months probation, to run concurrently with the probation for the assault. That offence stemmed from October 2003, when she suffered an overdose after breaking a window at her boyfriend's home. In a separate case relating to the same incident, Ms Love was sentenced to 18 months in drug rehabilitation for being under the influence of cocaine and opiates. In another case last October, she pleaded guilty to disorderly conduct for hitting a man on the head with a microphone stand at a New York City nightclub. Last month her lawyers said she had won back custody of Frances Bean, her 12-year-old daughter with former Nirvana frontman Kurt Cobain. The girl was removed from her care following her double arrest in October 2003. Cobain committed suicide in 1994.",entertainment
"US prosecutors have charged nine food suppliers with helping Dutch retailer Ahold inflate earnings by more than $800m (£428m).

The charges have been brought against individuals as well as companies, alleging they created false accounts. Ahold hit the headlines in February 2003 after it emerged that there were accounting irregularities at its US subsidiary Foodservice. Three former Ahold top executives last year agreed to settle fraud charges.

Ahold has admitted that it fraudulently inflated promotional allowances at Foodservice, improperly consolidated joint ventures and also committed other accounting errors and irregularities.

The nine now charged, who worked as suppliers to Ahold, are accused of signing false documents relating to the amount of money they paid the retailer for promoting their products in its stores. Food companies pay supermarkets and retailers for prime shelf space. The suppliers in question are said to have inflated the amount of money they paid, providing auditors with signed letters that allowed Ahold to inflate its earnings. US Attorney David Kelley said he expects the nine vendors will plead guilty to the charges. He added that there may be more court actions in the future. ""I don't want to leave you with the impression that these were the only ones involved,"" he said. Among those facing charges are John Nettle, a former employee of General Mills; Mark Bailin of Rymer International Seafood; Tim Daly of Michael Foods and Kenneth Bowman, who worked as an independent contractor for Total Foods.

Others include Michael Hannigan of Sugar Foods; Peter Marion of Maritime Seafood Processors and First Choice Foods; Gordon Redgate of Commodity Manager and Private Label Distribution; Bruce Robinson of Basic American Foods and Michael Rogers, formerly of Tyson Foods. Pasquale D'Amuro of the FBI called the nine vendors the key ingredients in ""the process of cooking the books"" at Ahold. At the time of the scandal, Ahold was seen by many as Europe's Enron. Ahold shares tumbled on the news and many market observers predicted that the fall out could damage investor confidence across Europe. It was less severe than many had envisaged, however, and since then Ahold has worked hard at rebuilding its reputation and investor confidence. Ahold is the world's fourth-largest supermarket chain. Its other US businesses include Stop & Shop, and Giant Food.",business
"UK mobile owners continue to break records with their text messaging, with latest figures showing that 26 billion texts were sent in total in 2004.

The figures collected by the Mobile Data Association (MDA) showed that 2.4 billion were fired off in December alone, the highest monthly total ever. That was 26% more than in December 2003. The records even surpassed the MDA's own predictions, it said. Every day 78 million messages are sent and there are no signs of a slow down. Before December's bumper text record, the previous highest monthly total was in October 2004, when 2.3 billion were sent. Text messaging is set to smash more records in 2005 too, said the MDA, with forecasts suggesting a total of 30 billion for the year.

Even though mobiles are becoming increasingly sophisticated with much more multimedia applications, texting is still one of the most useful functions of mobiles. People are using SMS to do much more too. Booking cinema tickets, text voting, and news or sports text alerts are growing popular. Mobile owners have also given the chance to donate to the Disasters Emergency Committee's (DEC) Asian Tsunami fund by texting ""Donate"" to a simple short code number. Looking further ahead in the year, the MDA's chairman Mike Short, has predicted that more people will go online through their mobiles, estimating 15 billion WAP page impressions. Handsets with GPRS capability - an ""always on"" net connection - will rise to 75%, while 3G mobile ownership growing to five million by the end of 2005. These third generation mobiles offer a high-speed connection which means more data like video can be received on the phone. Globally, mobile phone sales passed 167 million in the third quarter of 2004, according to a recent report from analysts Gartner. That was 26% more than the previous year. It is predicted that there would be two billion handsets in use worldwide by the end of 2005.",tech
"The race for the Oscars entered its final stages as the deadline for voters to choose their winners passed.

The 5,808 Academy voters had until Tuesday afternoon to return their ballots - any late submissions will not be included in the count. The next five days will be spent counting the voting forms and preparing the winners' envelopes. Best actor nominee Leonardo DiCaprio is to present a statuette for the first time at the LA ceremony on Sunday.

The 30-year-old actor, who is nominated for playing Howard Hughes in The Aviator, will join other hopefuls such as co-star Cate Blanchett, Natalie Portman and Kate Winslet as Oscar presenters. The only people who will know the Oscar winners before they are revealed at the ceremony will be the auditors who are in charge of looking after the ballot count.

After collating the results, they are responsible for sealing the results in the famous golden envelopes which will be revealed by a host of celebrity presenters at the ceremony. Former Academy Award winners Gwyneth Paltrow, Dustin Hoffman and Halle Berry will also present prizes. The event at the Kodak Theatre will be attended by 3,300 people, including some of the best-known names in film, and organisers say they expect it will be watched on television by one billion people around the world. One current concern is the torrential rain which has lashed Los Angeles for the past week, flooding suburbs and causing mudslides. It is hoped the forecast for Sunday, for cool weather but no rain, will prove accurate. ""The last time it rained on Oscars night was in the mid-to-late 1980s,"" said Oscars communications director John Pavlik. ""We have had rain up until the day before the show many times, but for some reason the Oscar gods always shine on Sunday and we hope they will do so again this year,"" he added.",entertainment
"This won't go down as one of the greatest marathons of Paula's career. But as a test of character, it was the toughest race she's ever taken part in.

A win in the New York marathon doesn't make up for the disappointment of Athens in any shape or form, but it will offer hope and reassurance for next year. If Paula's last experience of the year had been Athens, it would have been very difficult to look forward with any optimism. She can now draw a line under this year and make plans about her future. Even if she'd lost this race, there would have been a lot of positives to take out of it. She knows she can dig deep if she needs to. It was a strong field, with a number of the girls going into the race with expectations of winning. And although two hours 23 minutes wasn't one of Paula's best times, it wasn't far off the record on a difficult course.

I was speaking to Paula in the lead-up to this race and she said that in many ways she was facing a no-win situation. She thought that if she won, people would say ""why couldn't she do that in Athens?"" And if she lost, people would say her career was over. And a lot of people were wondering what would happen if Paula was forced to drop out of this race, as she did in the marathon and 10,000m in Athens. But that was never on the cards. She might have been beaten, but she would have kept running. The reasons she was forced to pull out in Athens - the niggling injuries, her lack of energy and the oppressive conditions - weren't at play here. The only question was what position she could finish in. Most important of all, despite all the hype in the media ahead of this race, there were never doubts in Paula's mind. If she wasn't confident, she wouldn't have run. After all, if you're the best in the world at an event, you'll always have expectations of winning.

Now Paula will take part in the Run London 10km race in London at the end of the year, have a well-earned rest over Christmas and go into next year with a lot of optimism.",sport
"US retail giant Federated Department Stores is to buy rival May Department Stores for $11bn (£5.7bn).

The deal will bring together famous stores like Macy's, Bloomingdale's and Marshall Field's, creating the largest department store chain in the US. The combined firm will operate about 1,000 stores across the US, with combined annual sales of $30bn. The two companies, facing competition from the likes of Wal-Mart, tried to merge two years ago but talks failed. Sources familiar with the deal said that negotiations between the two companies sped up after May's chairman and chief executive Gene Kahn resigned in January. As part of the deal, Federated - owner of Macy's and Bloomingdale's - will assume $6bn of May's debt, bringing the deal's total value to $17bn. Directors at both companies have approved the deal and it is expected to conclude by the third quarter of this year.

May has struggled to compete against larger department store groups such as Federated and other retailers such as Wal-Mart. Federated expects the merger to boost earnings from 2007 but the deal will cost it $1bn in one-off charges.

""We have taken the first step toward combining two of the best department store companies in America, creating a new retail company with truly national scope and presence,"" said Terry Lundgren, Federated's chairman. Some analysts see the merger as a rescue deal for May. ""Without this deal May would have been, to put it bluntly, washed up,"" said Kurt Barnard, president of Barnard's Retail Consulting Group. Federated has annual sales of $15.6bn, while May's yearly sales are $14.4bn.",business
"Jamie Costin should be paralysed.

He says so himself in a matter-of-fact way as he recalls the car accident which occurred nine days before he was scheduled to step out into the Olympic Stadium in Athens for the 50K Walk. There is an ironic chuckle as he talks of his immediate thoughts after a lorry, driving on the wrong side of the road, had ploughed into his rental car. ""I was in a lot of pain and I guessed that one of my toes was broken,"" says the Waterford man. ""But I was thinking maybe with a cortisone injection you never know. ""In my back, it felt as though all the muscles had been ripped off my pelvis but I was thinking maybe we could do something with laser therapy and ultra sound and hopefully I'd be able to race."" It took over 10 hours before Jamie knew with certainty that he would not be competing in his second Olympics. ""My back had been broken in two places and with one of my vertebrae, the bottom part had exploded so I'm fierce lucky not be paralysed. ""I'd fractured my big toe as well which was on the brake."" Jamie didn't finally arrive at hospital in Athens until some nine and a half hours after the accident.

""For the first nine hours, I had no pain killers which was ridiculous in 35 degrees heat. ""But once I got the scans and saw them it was a case of moving on and thinking:'OK, I've got a different set of circumstances now'."" Within three days he was arriving back in Ireland by air ambulance. Doctors in Athens had wanted to operate on Jamie's back immediately but he insisted on delaying any surgery until he arrived back home - something he is now very relieved about. ""The Greek doctors were going to put three or four inch titanium rods either side of my spinal cord up through my vertebrae. ""That would have fused all my lower back and I would never have been able to race again. They were really putting a lot of pressure on me to agree to the surgery. ""But when I got to the Mater in Dublin they said it was possible for it to heal totally naturally which is giving me the chance to get back into competition which is very important to me. The people at the Mater have been absolutely fantastic."" Jamie had to wear a body cast for three and a half months after the accident and spent most of that time flat on his back.

He then progressed to crutches for six weeks until he was finally able to walk unaided on 10 January. ""Walking without the crutches seemed like something finally really measurable in terms of my recovery."" Physio sessions with Johnston McEvoy in Limerick have been a vital part of his recovery. ""Johnston uses an advanced type of acupuncture and it's very effective. ""Needles get put right close up to my spine. A two and a half inch needle went in yesterday and I'm fairly incapacitated today as a result."" Jamie has also travelled to receive treatment at the Polish training centre in Spala where he has trained with triple Olympic champion Robert Korzeniowski over the past five years. ""I was there for over a fortnight earlier this month and underwent a fair extreme treatment called cryotherapy. ""Basically, there's a small room which is cooled by liquid nitrogen to minus 160 degrees centigrade and it promotes deep healing.""

Jamie heads to Poland again on Sunday where he will be having daily cryotherapy in addition to twice-daily physio sessions and pool-work. All these sessions are small steps on the way to what Jamie hopes will be a return to racing in 2006. ""It's all about trying to get mobility in my back. Lying down for three and a half months didn't really help with the strength. ""There's a lot of work involved in my recovery. I'm doing about six hours a day between physio and pool work. ""I'm also going to the gym to lift very light weights to try and build up my muscles. I'm fairly full on with everything I do. ""I'd hope to be training regularly by March. But training is just part of the process of getting back. ""At the moment, every time I go and do a big bit of movement, my whole pelvic area all down my lower back just tightens up. ""It's a case of waiting and seeing how it reacts. Hopefully, after four or five months my back won't tighten up as much.""",sport
"PC first person shooter Half-Life 2 has won six Bafta Awards, including best game and best online game.

The title, developed by Valve, was released last year to universal acclaim - receiving special praise for its immersive plot and physics engine. The game also won Baftas for best action adventure, best PC game, art direction and animation. Burnout 3 won three awards in the categories for racing, technical direction and best PlayStation 2 game. Grant Dean, chairman of the Bafta games awards, said at a ceremony in London on Tuesday: ""The last year has been a great year for the interactive entertainment industry.

""These awards reflect the enormous achievements, progress and diversity that we have seen in that time."" Halo 2 won the best Xbox game category, while Prince of Persia: Warrior Within was adjudged the best GameCube title. The sports award went to Konami's Pro Evolution Soccer 4. Bafta said the ""significant feature"" of this year's awards was the number of ""non-traditional games"". The originality award was won by PlayStation 2 title Singstar while the children's award went to GameCube bongo rhythm game Donkey Konga. The Handheld Award went to Colin McRae Rally 2005 while the mobile category was won by Blue Tooth Byplanes. The audio award was won by Call of Duty: Finest Hour and Hitman: Contracts won the music award.",tech
"Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite.

Cidatel Broadcasting said Stern had transformed his show into a ""continuous infomercial promoting Sirius, his new satellite radio employer"". Stern will join the Sirius subscription service, which is not governed by US regulators, next year. Citadel pulled Stern's show from stations in New York and Pennsylvania. Stern had been holiday for two weeks but his show did not return to the four stations as expected on 3 January. Citadel said it did not yet know whether it would return to its network.

Stern announced in October that he was leaving conventional radio, where his syndicated show goes out across the US, for the relatively restriction-free satellite service. The DJ's broadcasts are well known for landing in trouble with regulators for obscene and sexually explicit rantings. Stern was dropped by six stations owned by media giant Clear Channel in 2004 after it had to pay the Federal Communications Commission $1.75m (£950,000), over breaches indecency laws. Media giant Viacom has also reportedly agreed to the FCC's demands that if Stern is issued with another indecency violation then his show must be pulled from all of its stations. Viacom has also been hit with record fines of $3.5m (£1.8m) over Stern and two other New York DJs. But Stern continues to be one of the most popular talk show hosts, particularly in the 25-54 age category.",entertainment
"The comedy Sideways has dominated this year's Independent Spirit Awards, winning all six of the awards for which it was nominated.

It was named best film while Alexander Payne won best director and best screenplay, along with writing partner Jim Taylor. It also won acting awards for stars Paul Giamatti, Thomas Haden Church and Virginia Madsen. Sideways is tipped to do well at Sunday's Oscars, with five nominations.

The awards, now in their 20th year, are given to films made outside the traditional studio system, and are traditionally held the day before the Oscars. Other winners included Catalina Sandino Moreno, who took best actress for her role as a drug smuggler in the Colombian drama Maria Full of Grace. Moreno is also nominated for best actress at the Oscars. The best first screenplay award went to Joshua Marston for Maria Full of Grace. Scrubs star Zach Braff won the award for best first feature for Garden State, which he wrote, directed and starred in. Oscar-nominated euthanasia film The Sea Inside from Spain won best foreign film, while Metallica: Some Kind Of Monster was awarded best documentary. Actor Rodrigo de la Serna took the best debut performance prize for The Motorcycle Diaries. The awards are voted for by the 9,000 members of the Independent Feature Project/Los Angeles, which includes actors, directors, writers and other industry professionals. Last year's big winner, Lost In Translation, went on to win the Oscar for best original screenplay, for writer-director Sofia Coppola.",entertainment
"European leaders say Asian states must let their currencies rise against the US dollar to ease pressure on the euro.

The European single currency has shot up to successive all-time highs against the dollar over the past few months. Tacit approval from the White House for the weaker greenback, which could help counteract huge deficits, has helped trigger the move. But now Europe says the euro has had enough, and Asia must now share some of the burden.

China is seen as the main culprit, with exports soaring up 35% in 2004 partly on the back of a currency pegged to the dollar. ""Asia should engage in greater currency flexibility,"" said French finance minister Herve Gaymard, after a meeting with his German counterpart Hans Eichel. Markets responded by pushing the euro lower, in the expectation that the rhetoric - and the pressure - is unlikely to ease ahead of a meeting of the G7 industrialised countries next week. Early on Tuesday morning, the dollar had edged higher to 1.3040 euros. The yen, meanwhile, had strengthened to 102.975 against the dollar by 0730 GMT.",business
"Standard Life, Europe's largest mutual life insurer, has cut bonuses for with-profit policyholders.

Annual bonus rates on its with-profits life policies were cut from 2.5% to 2%, while bonuses on pension policies were reduced from 3.25% to 2.5%. It is the sixth time in three years Standard Life has made cuts to bonus rates, despite an 8.7% rise in the value of the with-profits fund in 2004. The insurer blamed the cuts on poor share returns and low interest rates.

With-profits policies are designed to smooth out the peaks and troughs of stock market volatility. Profits made in good years are kept in reserve to pay investors an annual bonus even when the stock market performs badly. Slumping share prices throughout 2001 and 2002 forced most firms to trim bonus rates on their policies. Standard Life came in for criticism for sticking with stock market investments during 2001 and 2002. The insurer argued that shares outperformed other investments over the long term and that policyholders would feel the benefit when the stock market recovered. Recently, Norwich Union and Axa Sun Life both cut their with-profit bonus rates.

John Gill, managing director of the insurer's life and pensions division, said that a strong stock market recovery in the past two years had only ""partly compensated for losses during 2001 and 2002"". In addition, low interest rates meant that ""long-term investment returns are well below historic levels"", Mr Gill added. However, Mr Gill maintained that with-profits continued to perform well over the long term. ""Our payouts continue to stand up well against other types of long-term investments over similar periods,"" he said. Standard Life has an estimated 2.4 million with-profits policyholders. Last year, the company announced that it was looking to float on the stock market in 2006.",business
"European cross-country champion Hayley Yelling completed a hat-trick of wins in the Reebok Cardiff Cross Challenge in Bute Park on Sunday afternoon.

The part-time maths teacher beat Irish international Jolene Byrne by 40 metres in the six-kilometre race. Another Great Britain international, Louise Damen, finished third as part of the contingent representing England. Peter Riley, who secured bronze for the GB men's team at last month's European Championships, won the men's 9km race. Riley, representing England, moved away over the last two kilometres to win by 25 metres from Ireland's Gary Murray. Glynn Tromans - the reigning UK Inter-Countries and England Cross-Country champion - came in third place as he continues his comeback from a five-month injury lay-off.",sport
"The referee from Saturday's France v Scotland Six Nations match has defended the officials' handling of the game after criticism by Matt Williams.

The Scotland coach said his side were robbed of victory by poor decisions made by the officials. But Nigel Williams said: ""I'm satisfied the game was handled correctly."" Meanwhile, Matt Williams will not be punished by the Scottish Rugby Union for allegedly using bad language in his comments about the officials. He denies having done so. Nonetheless, he was furious about several decisions that he felt denied his side a famous victory. But Nigel Williams told the Scottish Daily Mail: ""I spoke to Matt Williams at the post-match dinner. ""He made no mention of the disallowed try or any other refereeing decisions whatsoever. ""If Matt has issues with the match officials, then he is very welcome to phone me and discuss them. ""Ultimately there is a match assessor at every international game to give an impartial and objective view of the performance of the officials. ""That is the beginning and end of it.""",sport
